"workclass","education","marital_status","occupation","relationship","race","sex","income"
"Private","Assoc voc","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Self emp inc","HS grad","Married spouse absent","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"State gov","Some college","Divorced","Other service","Not in family","White"," Male","<= 50K USD"
"State gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Widowed","Admin","Unmarried","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","12th","Never married","Admin","Other","Black"," Female","<= 50K USD"
"Self emp not inc","Some college","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","Prof school","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Private house service","Not in family","White"," Female","<= 50K USD"
"Private","11th","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","Black"," Male","<= 50K USD"
"Private","Preschool","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Local gov","Masters","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Some college","Separated","Sales","Not in family","Asian"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Wife","White"," Female","> 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Private","9th","Separated","Mechanic","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Widowed","Executive","Not in family","White"," Female","<= 50K USD"
"Private","Assoc acdm","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Other","Black"," Male","<= 50K USD"
"Private","10th","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Other service","Not in family","White"," Female","<= 50K USD"
"State gov","Doctorate","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","7th to 8th","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Executive","Not in family","Black"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Divorced","Tech support","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp inc","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Mechanic","Unmarried","Black"," Female","<= 50K USD"
"Private","11th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Widowed","Mechanic","Unmarried","Black"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Local gov","Doctorate","Married to civilian","Prof specialty","Wife","Black"," Female","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married spouse absent","Executive","Unmarried","Asian"," Female","<= 50K USD"
"Private","Masters","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Local gov","HS grad","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Widowed","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","11th","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Local gov","HS grad","Married to civilian","Transportation","Husband","Black"," Male","<= 50K USD"
"Local gov","7th to 8th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Married to civilian","Protective service","Husband","Black"," Male","<= 50K USD"
"Private","Bachelors","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Divorced","Tech support","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Tech support","Wife","White"," Female","> 50K USD"
"Private","Assoc acdm","Never married","Prof specialty","Other","Asian"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","Asian"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Local gov","Some college","Separated","Craft and Repair","Not in family","Black"," Male","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Federal gov","Some college","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","Assoc acdm","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Mechanic","Not in family","White"," Female","<= 50K USD"
"Local gov","11th","Never married","Protective service","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Transportation","Not in family","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Own child","Asian"," Female","<= 50K USD"
"Private","12th","Never married","Other service","Other","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Married spouse absent","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Widowed","Other service","Unmarried","White"," Female","<= 50K USD"
"Self emp not inc","Assoc voc","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Sales","Not in family","White"," Female","> 50K USD"
"Private","Bachelors","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Sales","Other","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Divorced","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","11th","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Private","Prof school","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Divorced","Executive","Own child","Native American"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Tech support","Not in family","White"," Female","<= 50K USD"
"State gov","Bachelors","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Male","<= 50K USD"
